plant_id,ghgrp_id,plant_name,lat,lon,address,owner,state,plant_age_years,municipality,category_steel_product,steel_products,subregion,subregion_name,region,co2e_tonnes_per_mwh,estimated_emissions_intensity_tonne_per_tonne_scope2,max_tonnes_of_steel_producible_annually,max_tonnes_of_steel_producible_weekly,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01
SUS00028,NA,Nucor Steel Decatur plant,34.639630, -87.085738,"4301 Iverson Boulevard, Trinity, Alabama 35673, United States",Nucor Steel Decatur LLC,Alabama,26.0,Trinity,finished rolled,sheet; tubular products,SRTV,SERC Tennessee Valley,Southern,0.725,0.515,2268000,43615.385,NA,19638.585,20110.133,19416.68,19832.752,20526.204,20387.514,20082.395,19749.537,20581.681,20526.204,20720.371,20637.157,20970.014,20886.8,21275.133,21136.443,21996.324,21829.896,22024.063,21718.943,21774.42,21413.824,22301.444,22273.706,22245.967,22606.563,22245.967,22162.753,22606.563,22495.611,21386.086,21802.158,21524.777,21802.158,21469.3,21302.872,21857.634,21691.205,21663.467,21524.777,21691.205,21829.896,21302.872,20748.109,20637.157,20664.895,19915.966,19610.847
SUS00029,1005700,Nucor Steel Gallatin plant,38.759878, -84.996204,"4831 U.S. Hwy 42 W, Ghent, Kentucky 41405, United States",Nucor Corp,Kentucky,28.0,Ghent,finished rolled,hot-rolled coils,SRTV,SERC Tennessee Valley,Midwest,0.725,0.515,1452000,27923.077,NA,8311.49,8631.162,8357.157,8265.822,8174.487,8311.49,8402.825,8631.162,8402.825,7991.817,8357.157,8631.162,8448.492,8220.155,8539.827,8402.825,8539.827,8813.832,8950.835,8859.5,8950.835,9224.84,8722.497,9087.837,9133.505,9087.837,8950.835,9224.84,9179.173,9042.17,8813.832,9316.175,9361.843,9224.84,8950.835,8722.497,8905.167,9179.173,9316.175,9087.837,9270.508,9361.843,9087.837,9179.173,9407.51,9179.173,9042.17,8996.502
SUS00030,NA,Nucor Steel Kankakee plant,41.180734, -87.856196,"One Nucor Way, Bourbonnais, Illinois 60914, United States",Nucor Steel Kankakee Inc,Illinois,62.0,Bourbonnais,finished rolled,bar; grating,RFCW,RFC West,Great Lakes,0.735,0.522,794000,15269.231,NA,5613.244,5613.244,5969.343,5847.52,5706.954,5875.633,5810.036,5781.923,5716.326,5838.149,5650.728,5725.697,5772.552,5763.181,5772.552,5819.407,5950.601,6053.682,5875.633,5941.23,6044.311,6072.424,6016.198,5922.488,6016.198,5922.488,6006.827,5978.714,5959.972,5978.714,6091.167,5978.714,6006.827,6091.167,6081.796,5978.714,5988.085,5950.601,5791.294,5735.068,5800.665,5781.923,5856.891,5791.294,5819.407,5800.665,5959.972,5894.375
SUS00031,NA,Nucor Steel Jewett plant,31.351853, -96.165436,"8812 Highway 79 West, Jewett, Texas 75846, United States",Nucor Corp,Texas,48.0,Jewett,finished rolled,bar,SRMV,SERC Mississippi Valley,Southern,0.481,0.341,907000,17442.308,NA,5209.506,5334.593,5150.642,5261.013,5444.964,5408.174,5327.235,5238.938,5459.68,5444.964,5496.471,5474.396,5562.693,5540.619,5643.632,5606.841,5834.941,5790.793,5842.299,5761.361,5776.077,5680.422,5915.88,5908.522,5901.164,5996.819,5901.164,5879.09,5996.819,5967.386,5673.064,5783.435,5709.854,5783.435,5695.138,5650.99,5798.151,5754.003,5746.645,5709.854,5754.003,5790.793,5650.99,5503.829,5474.396,5481.754,5283.087,5202.148
SUS00032,1007921,Nucor-Yamato Steel Blytheville plant,35.941421, -89.713819,"7301 East County Road 142, Blytheville, Arkansas 72315, United States",Nucor Yamato Steel Co,Arkansas,35.0,Blytheville,finished rolled,beam,SRTV,SERC Tennessee Valley,Southern,0.725,0.515,2632000,50615.385,NA,22790.456,23337.685,22532.937,23015.786,23820.534,23659.584,23305.495,22919.216,23884.913,23820.534,24045.863,23949.293,24335.572,24239.002,24689.661,24528.712,25526.599,25333.459,25558.789,25204.7,25269.079,24850.611,25880.688,25848.498,25816.308,26234.777,25816.308,25719.738,26234.777,26106.017,24818.421,25301.269,24979.37,25301.269,24914.99,24721.851,25365.649,25172.51,25140.32,24979.37,25172.51,25333.459,24721.851,24078.053,23949.293,23981.483,23112.355,22758.266
SUS00033,NA,Nucor Steel Tuscaloosa plant,33.234761, -87.508498,"1700 Holt Road, Tuscaloosa, Alabama 35404, United States",Nucor Steel Tuscaloosa Inc,Alabama,38.0,Tuscaloosa,semi-finished; finished rolled,bar; plate; sheet; tubular products,SRSO,SERC South,Southern,0.542,0.385,1200000,23076.923,NA,7776.823,7963.555,7688.949,7853.713,8128.318,8073.397,7952.571,7820.76,8150.286,8128.318,8205.208,8172.255,8304.065,8271.113,8424.892,8369.971,8710.481,8644.576,8721.466,8600.639,8622.608,8479.813,8831.308,8820.323,8809.339,8952.134,8809.339,8776.387,8952.134,8908.197,8468.829,8633.592,8523.75,8633.592,8501.781,8435.876,8655.56,8589.655,8578.671,8523.75,8589.655,8644.576,8435.876,8216.192,8172.255,8183.239,7886.665,7765.839
SUS00034,NA,Nucor Steel Plymouth plant,41.882789, -112.196743,"7285 W 21200 N West Cemetery Road, Plymouth, Utah 84330, United States",Nucor Corp,Utah,42.0,Plymouth,finished rolled,bar,NWPP,WECC Northwest,Western,0.694,0.493,908000,17461.538,NA,6801.92,7393.391,7097.655,7294.812,6900.498,6210.448,6013.291,7491.969,6999.077,6801.92,7196.234,6999.077,6999.077,7491.969,7689.127,7886.284,7294.812,7393.391,7294.812,7590.548,7196.234,7491.969,7491.969,7787.705,7393.391,7294.812,7393.391,7196.234,7491.969,7294.812,7393.391,7886.284,7491.969,6900.498,7491.969,7886.284,7984.862,7491.969,7787.705,7689.127,7393.391,7590.548,7393.391,7491.969,7689.127,7294.812,6900.498,6801.92
SUS00035,NA,Nucor Steel Seattle plant,47.569597, -122.367395,"2424 SW Andover Street, Seattle, Washington 98106, United States",Nucor Steel Seattle Inc,Washington,119.0,Seattle,finished rolled,bar,NWPP,WECC Northwest,Western,0.694,0.493,855000,16442.308,NA,6404.891,6961.838,6683.365,6869.014,6497.716,5847.944,5662.295,7054.663,6590.54,6404.891,6776.189,6590.54,6590.54,7054.663,7240.312,7425.961,6869.014,6961.838,6869.014,7147.487,6776.189,7054.663,7054.663,7333.136,6961.838,6869.014,6961.838,6776.189,7054.663,6869.014,6961.838,7425.961,7054.663,6497.716,7054.663,7425.961,7518.785,7054.663,7333.136,7240.312,6961.838,7147.487,6961.838,7054.663,7240.312,6869.014,6497.716,6404.891
SUS00037,NA,Outokumpu Stainless USA steel plant,31.148179, -87.988660,"1 Steel Dr., Calvert, Alabama, 36513-1300, United States",Outokumpu Stainless Usa LLC,Alabama,16.0,Calvert,crude; semi-finished; finished rolled,"stainless, hot-rolled coil, cold-rolled coil, sheet",SRSO,SERC South,Southern,0.542,0.385,1000000,19230.769,NA,6480.686,6636.296,6407.458,6544.761,6773.598,6727.831,6627.142,6517.3,6791.905,6773.598,6837.673,6810.212,6920.055,6892.594,7020.743,6974.976,7258.734,7203.813,7267.888,7167.199,7185.506,7066.511,7359.423,7350.27,7341.116,7460.112,7341.116,7313.656,7460.112,7423.498,7057.357,7194.66,7103.125,7194.66,7084.818,7029.897,7212.967,7158.046,7148.892,7103.125,7158.046,7203.813,7029.897,6846.826,6810.212,6819.366,6572.221,6471.532
SUS00038,NA,Republic Steel Canton plant,40.804114, -81.334002,"3707 Georgetown St. N.E., Canton, Ohio 44704-2625, United States",Republic Steel,Ohio,137.0,Canton,semi-finished; finished rolled,"hot-rolled bars, hot-rolled coils, cold finished bars, ingots, rod, wire",RFCW,RFC West,North East,0.735,0.522,1092000,21000,NA,7258.079,7653.077,7554.328,7653.077,7751.826,7603.702,8097.449,8196.199,7850.576,7603.702,8097.449,8196.199,7899.95,7406.203,7455.578,7208.705,7258.079,6863.082,7060.581,7455.578,6714.958,7109.955,6863.082,7208.705,7356.829,7702.452,7801.201,7751.826,7356.829,7504.953,8739.32,8591.196,8689.945,8492.447,8739.32,8936.819,8838.069,8689.945,8788.695,8689.945,8739.32,8640.571,8393.697,8097.449,8344.323,8196.199,8887.444,9035.568
