plant_id,ghgrp_id,plant_name,lat,lon,address,owner,state,plant_age_years,municipality,category_steel_product,steel_products,subregion,subregion_name,region,co2e_tonnes_per_mwh,estimated_emissions_intensity_tonne_per_tonne_scope2,max_tonnes_of_steel_producible_annually,max_tonnes_of_steel_producible_weekly,scope1_tonnes_of_co2e_per_week,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01
SUS00028,NA,Nucor Steel Decatur plant,34.639630, -87.085738,"4301 Iverson Boulevard, Trinity, Alabama 35673, United States",Nucor Steel Decatur LLC,Alabama,26.0,Trinity,finished rolled,sheet; tubular products,SRTV,SERC Tennessee Valley,Southern,0.725,0.515,2268000,43615.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00029,1005700,Nucor Steel Gallatin plant,38.759878, -84.996204,"4831 U.S. Hwy 42 W, Ghent, Kentucky 41405, United States",Nucor Corp,Kentucky,28.0,Ghent,finished rolled,hot-rolled coils,SRTV,SERC Tennessee Valley,Midwest,0.725,0.515,1452000,27923.077,4211.731,NA,12523.22,12842.893,12568.888,12477.553,12386.218,12523.22,12614.555,12842.893,12614.555,12203.548,12568.888,12842.893,12660.223,12431.885,12751.558,12614.555,12751.558,13025.563,13162.566,13071.231,13162.566,13436.571,12934.228,13299.568,13345.236,13299.568,13162.566,13436.571,13390.903,13253.901,13025.563,13527.906,13573.573,13436.571,13162.566,12934.228,13116.898,13390.903,13527.906,13299.568,13482.238,13573.573,13299.568,13390.903,13619.241,13390.903,13253.901,13208.233
SUS00030,NA,Nucor Steel Kankakee plant,41.180734, -87.856196,"One Nucor Way, Bourbonnais, Illinois 60914, United States",Nucor Steel Kankakee Inc,Illinois,62.0,Bourbonnais,finished rolled,bar; grating,RFCW,RFC West,Great Lakes,0.735,0.522,794000,15269.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00031,NA,Nucor Steel Jewett plant,31.351853, -96.165436,"8812 Highway 79 West, Jewett, Texas 75846, United States",Nucor Corp,Texas,48.0,Jewett,finished rolled,bar,SRMV,SERC Mississippi Valley,Southern,0.481,0.341,907000,17442.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00032,1007921,Nucor-Yamato Steel Blytheville plant,35.941421, -89.713819,"7301 East County Road 142, Blytheville, Arkansas 72315, United States",Nucor Yamato Steel Co,Arkansas,35.0,Blytheville,finished rolled,beam,SRTV,SERC Tennessee Valley,Southern,0.725,0.515,2632000,50615.385,9019.385,NA,31809.841,32357.069,31552.322,32035.17,32839.918,32678.969,32324.88,31938.601,32904.298,32839.918,33065.247,32968.678,33354.957,33258.387,33709.046,33548.096,34545.983,34352.844,34578.173,34224.084,34288.464,33869.995,34900.072,34867.882,34835.693,35254.161,34835.693,34739.123,35254.161,35125.402,33837.805,34320.654,33998.755,34320.654,33934.375,33741.236,34385.034,34191.894,34159.704,33998.755,34191.894,34352.844,33741.236,33097.437,32968.678,33000.868,32131.74,31777.651
SUS00033,NA,Nucor Steel Tuscaloosa plant,33.234761, -87.508498,"1700 Holt Road, Tuscaloosa, Alabama 35404, United States",Nucor Steel Tuscaloosa Inc,Alabama,38.0,Tuscaloosa,semi-finished; finished rolled,bar; plate; sheet; tubular products,SRSO,SERC South,Southern,0.542,0.385,1200000,23076.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00034,NA,Nucor Steel Plymouth plant,41.882789, -112.196743,"7285 W 21200 N West Cemetery Road, Plymouth, Utah 84330, United States",Nucor Corp,Utah,42.0,Plymouth,finished rolled,bar,NWPP,WECC Northwest,Western,0.694,0.493,908000,17461.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00035,NA,Nucor Steel Seattle plant,47.569597, -122.367395,"2424 SW Andover Street, Seattle, Washington 98106, United States",Nucor Steel Seattle Inc,Washington,119.0,Seattle,finished rolled,bar,NWPP,WECC Northwest,Western,0.694,0.493,855000,16442.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00037,NA,Outokumpu Stainless USA steel plant,31.148179, -87.988660,"1 Steel Dr., Calvert, Alabama, 36513-1300, United States",Outokumpu Stainless Usa LLC,Alabama,16.0,Calvert,crude; semi-finished; finished rolled,"stainless, hot-rolled coil, cold-rolled coil, sheet",SRSO,SERC South,Southern,0.542,0.385,1000000,19230.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00038,NA,Republic Steel Canton plant,40.804114, -81.334002,"3707 Georgetown St. N.E., Canton, Ohio 44704-2625, United States",Republic Steel,Ohio,137.0,Canton,semi-finished; finished rolled,"hot-rolled bars, hot-rolled coils, cold finished bars, ingots, rod, wire",RFCW,RFC West,North East,0.735,0.522,1092000,21000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
