plant_name,lat,lon,state,eaf_capacity,municipality,subregion,subregion_name,co2e_lb_per_mwh,region,emissions_intensity_co2e_lb_per_tonne,eaf_capacity_tonnes_of_steel_per_week,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01
Steel Dynamics Columbia City plant,41.121613, -85.348602,Indiana,2000,Columbia City,RFCW,RFC West,1621.12,Great Lakes,1151,38461.54,14139.15,14139.15,15036.13,14729.27,14375.2,14800.08,14634.85,14564.04,14398.8,14705.66,14233.57,14422.41,14540.43,14516.83,14540.43,14658.46,14988.92,15248.57,14800.08,14965.32,15224.97,15295.78,15154.15,14918.11,15154.15,14918.11,15130.55,15059.73,15012.52,15059.73,15342.99,15059.73,15130.55,15342.99,15319.38,15059.73,15083.34,14988.92,14587.64,14446.01,14611.25,14564.04,14752.87,14587.64,14658.46,14611.25,15012.52,14847.29
Nucor Steel Crawfordsville plant,39.976379, -86.830727,Indiana,2304,Crawfordsville,RFCW,RFC West,1621.12,Great Lakes,1151,44307.69,16288.31,16288.31,17321.62,16968.12,16560.23,17049.7,16859.35,16777.77,16587.42,16940.93,16397.08,16614.62,16750.58,16723.39,16750.58,16886.54,17267.24,17566.35,17049.7,17240.04,17539.16,17620.74,17457.58,17185.66,17457.58,17185.66,17430.39,17348.81,17294.43,17348.81,17675.12,17348.81,17430.39,17675.12,17647.93,17348.81,17376.01,17267.24,16804.96,16641.81,16832.16,16777.77,16995.31,16804.96,16886.54,16832.16,17294.43,17104.08
Cleveland-Cliffs Indiana Harbor steel plant,41.669553, -87.438429,Indiana,454,East Chicago,RFCW,RFC West,1621.12,Great Lakes,1151,8730.77,3209.59,3209.59,3413.2,3343.54,3263.17,3359.62,3322.11,3306.04,3268.53,3338.19,3231.02,3273.89,3300.68,3295.32,3300.68,3327.47,3402.48,3461.43,3359.62,3397.13,3456.07,3472.14,3439.99,3386.41,3439.99,3386.41,3434.63,3418.56,3407.84,3418.56,3482.86,3418.56,3434.63,3482.86,3477.5,3418.56,3423.92,3402.48,3311.39,3279.25,3316.75,3306.04,3348.9,3311.39,3327.47,3316.75,3407.84,3370.34
Steel Dynamics Engineered Bar Products steel plant,39.875508, -86.484214,Indiana,725,Pittsboro,RFCW,RFC West,1621.12,Great Lakes,1151,13942.31,5125.44,5125.44,5450.6,5339.36,5211.01,5365.03,5305.13,5279.46,5219.57,5330.8,5159.67,5228.12,5270.91,5262.35,5270.91,5313.69,5433.48,5527.61,5365.03,5424.93,5519.05,5544.72,5493.38,5407.81,5493.38,5407.81,5484.82,5459.15,5442.04,5459.15,5561.83,5459.15,5484.82,5561.83,5553.28,5459.15,5467.71,5433.48,5288.02,5236.68,5296.58,5279.46,5347.92,5288.02,5313.69,5296.58,5442.04,5382.14
NLMK Indiana steel plant,41.625912, -87.159989,Indiana,770,Portage,RFCW,RFC West,1621.12,Great Lakes,1151,14807.69,5443.57,5443.57,5788.91,5670.77,5534.45,5698.03,5634.42,5607.15,5543.54,5661.68,5479.93,5552.63,5598.07,5588.98,5598.07,5643.51,5770.73,5870.7,5698.03,5761.65,5861.61,5888.88,5834.35,5743.47,5834.35,5743.47,5825.26,5798,5779.82,5798,5907.05,5798,5825.26,5907.05,5897.96,5798,5807.09,5770.73,5616.24,5561.72,5625.33,5607.15,5679.86,5616.24,5643.51,5625.33,5779.82,5716.21
SSAB Americas Iowa steel plant,41.482009, -90.820921,Iowa,1250,Muscatine,MROW,MRO West,1948.27,Midwest,1383.27,24038.46,8724.62,9060.18,8772.56,8676.68,8580.81,8724.62,8820.5,9060.18,8820.5,8389.06,8772.56,9060.18,8868.43,8628.75,8964.31,8820.5,8964.31,9251.93,9395.75,9299.87,9395.75,9683.37,9156.06,9539.56,9587.5,9539.56,9395.75,9683.37,9635.43,9491.62,9251.93,9779.25,9827.18,9683.37,9395.75,9156.06,9347.81,9635.43,9779.25,9539.56,9731.31,9827.18,9539.56,9635.43,9875.12,9635.43,9491.62,9443.68
Nucor Steel Brandenburg plant,37.9999454, -86.1398738,Kentucky,1089,Brandenburg,SRTV,SERC Tennessee Valley,1597.81,Midwest,1134.44,20942.31,6233.62,6473.37,6267.87,6199.37,6130.87,6233.62,6302.12,6473.37,6302.12,5993.86,6267.87,6473.37,6336.37,6165.12,6404.87,6302.12,6404.87,6610.37,6713.13,6644.62,6713.13,6918.63,6541.87,6815.88,6850.13,6815.88,6713.13,6918.63,6884.38,6781.63,6610.37,6987.13,7021.38,6918.63,6713.13,6541.87,6678.88,6884.38,6987.13,6815.88,6952.88,7021.38,6815.88,6884.38,7055.63,6884.38,6781.63,6747.38
North American Stainless steel plant,38.725418, -85.076015,Kentucky,1600,Ghent,SRTV,SERC Tennessee Valley,1597.81,Midwest,1134.44,30769.23,9158.67,9510.92,9208.99,9108.34,9007.7,9158.67,9259.31,9510.92,9259.31,8806.41,9208.99,9510.92,9309.63,9058.02,9410.28,9259.31,9410.28,9712.21,9863.18,9762.53,9863.18,10165.11,9611.57,10014.15,10064.47,10014.15,9863.18,10165.11,10114.79,9963.82,9712.21,10265.76,10316.08,10165.11,9863.18,9611.57,9812.86,10114.79,10265.76,10014.15,10215.44,10316.08,10014.15,10114.79,10366.4,10114.79,9963.82,9913.5
Nucor Steel Gallatin plant EAF expansion,38.759878, -84.996204,Kentucky,1271,Ghent,SRTV,SERC Tennessee Valley,1597.81,Midwest,1134.44,24442.31,7275.42,7555.24,7315.39,7235.44,7155.49,7275.42,7355.37,7555.24,7355.37,6995.59,7315.39,7555.24,7395.34,7195.47,7475.29,7355.37,7475.29,7715.14,7835.06,7755.11,7835.06,8074.91,7635.19,7954.99,7994.96,7954.99,7835.06,8074.91,8034.94,7915.01,7715.14,8154.86,8194.84,8074.91,7835.06,7635.19,7795.09,8034.94,8154.86,7954.99,8114.89,8194.84,7954.99,8034.94,8234.81,8034.94,7915.01,7875.04
Nucor Steel Gallatin plant,38.759878, -84.996204,Kentucky,1452,Ghent,SRTV,SERC Tennessee Valley,1597.81,Midwest,1134.44,27923.08,8311.49,8631.16,8357.16,8265.82,8174.49,8311.49,8402.82,8631.16,8402.82,7991.82,8357.16,8631.16,8448.49,8220.15,8539.83,8402.82,8539.83,8813.83,8950.83,8859.5,8950.83,9224.84,8722.5,9087.84,9133.51,9087.84,8950.83,9224.84,9179.17,9042.17,8813.83,9316.18,9361.84,9224.84,8950.83,8722.5,8905.17,9179.17,9316.18,9087.84,9270.51,9361.84,9087.84,9179.17,9407.51,9179.17,9042.17,8996.5
